traceId	group	protocol	initialState	events	faultClass	outcome	candidates	subjects	bindings	lanes	calls	localCounters	budgets	isolation
C18_SHARED_FAILURE_ALL_MEMBERS	ISOLATION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:STOP_WALRUN_SHARED_INVARIANT;PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;SUBJECT:s1:c0:b1:u1;RESERVE:s0;ASSIGN:s0;RESERVE:s1;ASSIGN:s1;FIXTURE_RESOLVE:c0;HIDE:s0;HIDE:s1;SHARED_FAIL:c0	STOP_WALRUN_SHARED_INVARIANT	STOP_WALRUN_SHARED_INVARIANT	c0:0:0:DISPATCHED:QUARANTINED	s0:c0:b0:u0:UNKNOWN_RETAINED:RELEASED_AFTER_PROVIDER_RESOLUTION:ROLLED_BACK:0;s1:c0:b1:u1:UNKNOWN_RETAINED:RELEASED_AFTER_PROVIDER_RESOLUTION:ROLLED_BACK:0	b0:0:STOPPED;b1:0:STOPPED	0:BURNED_WITH_RUN_STOP:1	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	WALRUN_SHARED
C19_GAP_BLOCKS_PUBLICATION	PUBLICATION	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;FIXTURE_RESOLVE:c0;BLOCK:s0	-	PUBLICATION_BLOCKED	c0:0:0:DISPATCHED:APPLIED_EXACT	s0:c0:b0:u0:ASSIGNED_HELD:RELEASED_AFTER_PROVIDER_RESOLUTION:NONE:0	b0:0:ADMITTING	0:RESOLVED:1	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C20_PUBLISH_AND_ACK_LANE1	PUBLICATION	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:1:0;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;FIXTURE_RESOLVE:c0;HIDE:s0;PUBLISH:s0;ACK:s0	-	PUBLISHED_AND_ACKED	c0:1:0:DISPATCHED:APPLIED_EXACT	s0:c0:b0:u0:COMMITTED:RELEASED_AFTER_PUBLICATION:VISIBLE_PUBLISHED:1	b0:1:ADMITTING	1:RESOLVED:1	-	acks=1,publications=1,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C21_PLAN_SEALED_LANE2	SEQUENCING	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:2:9	-	PLAN_SEALED_NO_EXTERNAL_EFFECT	c0:2:9:NOT_DISPATCHED:NOT_CALLED	-	-	2:ALLOCATED_HELD:0	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C22_POSITION_FAILURE_BINDING1	ADMISSION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:RETRYABLE_BINDING_LOCAL;SUBJECT:s0:c0:b1:u0;RESERVE:s0;POSITION_FAIL:s0	RETRYABLE_BINDING_LOCAL	POSITION_ASSIGNMENT_FAILED	-	s0:c0:b1:u0:NOT_ALLOCATED:RELEASED_AFTER_ROLLBACK:NONE:0	b1:0:ADMITTING	-	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	BINDING_LOCAL
C23_ROLLBACK_HIDDEN_LOCATOR	PUBLICATION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:RETRYABLE_BINDING_LOCAL;PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;FIXTURE_RESOLVE:c0;HIDE:s0;ROLLBACK:s0	RETRYABLE_BINDING_LOCAL	ROLLBACK_SPECULATIVE_SUFFIX	c0:0:0:DISPATCHED:APPLIED_EXACT	s0:c0:b0:u0:ROLLED_BACK_SPECULATIVE_SUFFIX:RELEASED_AFTER_ROLLBACK:ROLLED_BACK:0	b0:0:ADMITTING	0:RESOLVED:1	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	BINDING_LOCAL
C24_FENCE_AFTER_ASSIGNMENT	ADMISSION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:FENCE_BINDING;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;FENCE:b0	FENCE_BINDING	BINDING_WRITER_FENCED	-	s0:c0:b0:u0:ASSIGNED_HELD:RETAINED_PENDING:NONE:0	b0:0:FENCED	-	-	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	BINDING_LOCAL
C25_SHARED_EXTENT_TWO_BINDING_ACK	ISOLATION	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;SUBJECT:s1:c0:b1:u1;RESERVE:s0;ASSIGN:s0;RESERVE:s1;ASSIGN:s1;FIXTURE_RESOLVE:c0;HIDE:s0;PUBLISH:s0;ACK:s0;HIDE:s1;PUBLISH:s1;ACK:s1	-	PUBLISHED_AND_ACKED	c0:0:0:DISPATCHED:APPLIED_EXACT	s0:c0:b0:u0:COMMITTED:RELEASED_AFTER_PUBLICATION:VISIBLE_PUBLISHED:1;s1:c0:b1:u1:COMMITTED:RELEASED_AFTER_PUBLICATION:VISIBLE_PUBLISHED:1	b0:1:ADMITTING;b1:1:ADMITTING	0:RESOLVED:1	-	acks=2,publications=2,waiters=0,spool=0,crypto=0	requests=0,putBytes=0,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=0	NONE
C26_PUT_APPLIED_RESOLVED	PROVIDER	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:0:0;DISPATCH:c0;PUT_APPLIED:c0;RESOLVE:c0	-	PROVIDER_RESOLVED	c0:0:0:DISPATCHED:APPLIED_EXACT	-	-	0:RESOLVED:1	OBJECT_CONDITIONAL_PUT=1	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=1,putBytes=1000,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=1	NONE
C27_PUT_DEFINITIVE_CONFLICT	PROVIDER	COMMON	VERIFIED_WALRUN_OPEN	FAULT:PROVIDER_DEFINITIVE_FAILURE;PLAN:c0:0:0;DISPATCH:c0;PUT_CONFLICT:c0	PROVIDER_DEFINITIVE_FAILURE	PROVIDER_DEFINITIVE_CONFLICT	c0:0:0:DISPATCHED:DEFINITIVE_CONFLICT	-	-	0:ALLOCATED_HELD:0	OBJECT_CONDITIONAL_PUT=1	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=1,putBytes=1000,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=1	NONE
C28_PUT_LOST_UNKNOWN	PROVIDER	COMMON	VERIFIED_WALRUN_OPEN	FAULT:PROVIDER_OUTCOME_UNKNOWN;PLAN:c0:0:0;DISPATCH:c0;PUT_LOST_APPLIED:c0;UNKNOWN:c0	PROVIDER_OUTCOME_UNKNOWN	FAIL_CLOSED_UNKNOWN	c0:0:0:DISPATCHED:DISPATCHED_UNRESOLVED	-	-	0:ALLOCATED_HELD:0	OBJECT_CONDITIONAL_PUT=1	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=1,putBytes=1000,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=1	LANE_LOCAL
C29_PUT_DEFINITIVE_ABSENCE_BURNS	PROVIDER	COMMON	VERIFIED_WALRUN_OPEN	FAULT:PROVIDER_DEFINITIVE_FAILURE;PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;DISPATCH:c0;PUT_NO_EFFECT:c0;ABSENT:c0;BURN:c0	PROVIDER_DEFINITIVE_FAILURE	STOP_OLD_WALRUN_BURN_SEQUENCE	c0:0:0:DISPATCHED:DEFINITIVELY_NOT_APPLIED	s0:c0:b0:u0:SEALED_BEFORE_GAP:TRANSFERRED_TO_RECOVERY:NONE:0	b0:0:STOPPED	0:BURNED_WITH_RUN_STOP:0	OBJECT_CONDITIONAL_PUT=1	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=1,putBytes=1000,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=1	LANE_LOCAL
C30_PUT_APPLIED_RETRY_IDENTITY	PROVIDER	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:0:0;DISPATCH:c0;PUT_APPLIED:c0;SAME_CANDIDATE_RETRY:c0	-	SAME_CANDIDATE_PUT_RETRY	c0:0:0:DISPATCHED:APPLIED_EXACT	-	-	0:ALLOCATED_HELD:0	OBJECT_CONDITIONAL_PUT=1	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=1,putBytes=1000,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=1	NONE
C31_PUT_PUBLISH_ACK	PUBLICATION	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;RESERVE:s0;ASSIGN:s0;DISPATCH:c0;PUT_APPLIED:c0;RESOLVE:c0;HIDE:s0;PUBLISH:s0;ACK:s0	-	PUBLISHED_AND_ACKED	c0:0:0:DISPATCHED:APPLIED_EXACT	s0:c0:b0:u0:COMMITTED:RELEASED_AFTER_PUBLICATION:VISIBLE_PUBLISHED:1	b0:1:ADMITTING	0:RESOLVED:1	OBJECT_CONDITIONAL_PUT=1	acks=1,publications=1,waiters=0,spool=0,crypto=0	requests=1,putBytes=1000,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=1	NONE
C32_PUT_BINDING_ISOLATION	ISOLATION	COMMON	VERIFIED_WALRUN_OPEN	FAULT:RETRYABLE_BINDING_LOCAL;PLAN:c0:0:0;SUBJECT:s0:c0:b0:u0;SUBJECT:s1:c0:b1:u1;RESERVE:s0;ASSIGN:s0;RESERVE:s1;ASSIGN:s1;DISPATCH:c0;PUT_APPLIED:c0;RESOLVE:c0;HIDE:s1;PUBLISH:s1;ACK:s1;BINDING_FAIL:s0	RETRYABLE_BINDING_LOCAL	BINDING_FAILURE_ISOLATED	c0:0:0:DISPATCHED:APPLIED_EXACT	s0:c0:b0:u0:UNKNOWN_RETAINED:RELEASED_AFTER_PROVIDER_RESOLUTION:NONE:0;s1:c0:b1:u1:COMMITTED:RELEASED_AFTER_PUBLICATION:VISIBLE_PUBLISHED:1	b0:0:ADMITTING;b1:1:ADMITTING	0:RESOLVED:1	OBJECT_CONDITIONAL_PUT=1	acks=1,publications=1,waiters=0,spool=0,crypto=0	requests=1,putBytes=1000,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=1	BINDING_LOCAL
C33_RETRY_NO_EFFECT_THEN_APPLIED	PROVIDER	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:0:0;DISPATCH:c0;PUT_LOST_NO_EFFECT:c0;PUT_APPLIED:c0;SAME_CANDIDATE_RETRY:c0	-	SAME_CANDIDATE_PUT_RETRY	c0:0:0:DISPATCHED:APPLIED_EXACT	-	-	0:ALLOCATED_HELD:0	OBJECT_CONDITIONAL_PUT=2	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=2,putBytes=2000,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=2	NONE
C34_RETRY_SECOND_APPLIES_RESOLVED	PROVIDER	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:0:0;DISPATCH:c0;PUT_LOST_NO_EFFECT:c0;PUT_APPLIED:c0;RESOLVE:c0	-	PROVIDER_RESOLVED	c0:0:0:DISPATCHED:APPLIED_EXACT	-	-	0:RESOLVED:1	OBJECT_CONDITIONAL_PUT=2	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=2,putBytes=2000,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=2	NONE
C35_TWO_LOST_RESPONSES_UNKNOWN	PROVIDER	COMMON	VERIFIED_WALRUN_OPEN	FAULT:PROVIDER_OUTCOME_UNKNOWN;PLAN:c0:0:0;DISPATCH:c0;PUT_LOST_APPLIED:c0;PUT_LOST_APPLIED:c0;UNKNOWN:c0	PROVIDER_OUTCOME_UNKNOWN	FAIL_CLOSED_UNKNOWN	c0:0:0:DISPATCHED:DISPATCHED_UNRESOLVED	-	-	0:ALLOCATED_HELD:0	OBJECT_CONDITIONAL_PUT=2	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=2,putBytes=2000,readBytes=0,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=2	LANE_LOCAL
C36_LOST_PUT_FULL_GET_EXACT	PROVIDER	COMMON	VERIFIED_WALRUN_OPEN	FAULT:PROVIDER_OUTCOME_UNKNOWN;PLAN:c0:0:0;DISPATCH:c0;PUT_LOST_APPLIED:c0;FULL_GET_EXACT:c0;RESOLVE:c0	PROVIDER_OUTCOME_UNKNOWN	PROVIDER_RESOLVED	c0:0:0:DISPATCHED:EXISTING_EXACT	-	-	0:RESOLVED:1	OBJECT_CONDITIONAL_PUT=1,OBJECT_FULL_GET=1	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=2,putBytes=1000,readBytes=1000,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=1,elapsedMillis=2	NONE
C37_LOST_PUT_BODY_MISMATCH	PROVIDER	COMMON	VERIFIED_WALRUN_OPEN	FAULT:STOP_WALRUN_SHARED_INVARIANT;PLAN:c0:0:0;DISPATCH:c0;PUT_LOST_APPLIED:c0;FULL_GET_MISMATCH:c0	STOP_WALRUN_SHARED_INVARIANT	OBJECT_QUARANTINED	c0:0:0:DISPATCHED:QUARANTINED	-	-	0:ALLOCATED_HELD:0	OBJECT_CONDITIONAL_PUT=1,OBJECT_FULL_GET=1	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=2,putBytes=1000,readBytes=1000,listPages=0,listedObjects=0,listedKeyBytes=0,decodedUnits=1,elapsedMillis=2	WALRUN_SHARED
C38_LIST_ABSENCE_BURNS	RECOVERY	COMMON	VERIFIED_WALRUN_OPEN	FAULT:TAKEOVER_RECOVERY;PLAN:c0:0:0;LIST_EMPTY;ABSENT:c0;BURN:c0	TAKEOVER_RECOVERY	STOP_OLD_WALRUN_BURN_SEQUENCE	c0:0:0:NOT_DISPATCHED:DEFINITIVELY_NOT_APPLIED	-	-	0:BURNED_WITH_RUN_STOP:0	OBJECT_LIST_PAGE=1	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=1,putBytes=0,readBytes=0,listPages=1,listedObjects=0,listedKeyBytes=0,decodedUnits=0,elapsedMillis=1	LANE_LOCAL
C39_LIST_FULL_GET_TAKEOVER	RECOVERY	COMMON	VERIFIED_WALRUN_OPEN	FAULT:TAKEOVER_RECOVERY;PLAN:c0:0:0;DISPATCH:c0;LIST_ONE;FULL_GET_EXACT:c0;TAKEOVER:c0	TAKEOVER_RECOVERY	TAKEOVER_REBUILT	c0:0:0:DISPATCHED:EXISTING_EXACT	-	-	0:RESOLVED:1	OBJECT_FULL_GET=1,OBJECT_LIST_PAGE=1	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=2,putBytes=0,readBytes=1000,listPages=1,listedObjects=1,listedKeyBytes=64,decodedUnits=1,elapsedMillis=2	NONE
C40_LIST_FULL_GET_RESOLVED	RECOVERY	COMMON	VERIFIED_WALRUN_OPEN	PLAN:c0:1:0;DISPATCH:c0;LIST_ONE;FULL_GET_EXACT:c0;RESOLVE:c0	-	PROVIDER_RESOLVED	c0:1:0:DISPATCHED:EXISTING_EXACT	-	-	1:RESOLVED:1	OBJECT_FULL_GET=1,OBJECT_LIST_PAGE=1	acks=0,publications=0,waiters=0,spool=0,crypto=0	requests=2,putBytes=0,readBytes=1000,listPages=1,listedObjects=1,listedKeyBytes=64,decodedUnits=1,elapsedMillis=2	NONE
